Id,year,month,day,precip,tmax,tmin,basin_cfs,runoff (same in datafile),delta_e
96,2003,1,4,0,55.7,32.5,1.199571,0.93,-0.269571
97,2003,1,5,0,52.2,30.4,1.194176,0.92,-0.274176
98,2003,1,6,0,50.1,24.2,1.189504,0.9,-0.289504
99,2003,1,7,0,44.6,25.2,1.184867,0.93,-0.254867
100,2003,1,8,0,49.4,27.1,1.180263,0.99,-0.190263
101,2003,1,9,0,51.2,29.3,1.175694,0.96,-0.215694
102,2003,1,10,0.2,47.9,30.4,1.324093,0.96,-0.364093
103,2003,1,11,0.03,44.3,29.6,1.202103,0.96,-0.242103
104,2003,1,12,0,43.3,24.9,1.162368,0.96,-0.202368
105,2003,1,13,0,45.9,30.7,1.157912,0.96,-0.197912
106,2003,1,14,0,52.8,30.8,1.153494,0.96,-0.193494
107,2003,1,15,0,51.7,29.6,1.149103,0.96,-0.189103
108,2003,1,16,0,45.4,28,1.144745,1,-0.144745
109,2003,1,17,0,47.4,26.4,1.14042,1,-0.14042
110,2003,1,18,0,44.9,26.2,1.136126,1,-0.136126
111,2003,1,19,0,48.7,28.2,1.131864,1,-0.131864
112,2003,1,20,0,53.4,29.7,1.127633,1,-0.127633
113,2003,1,21,0,54.4,29.9,1.123426,1,-0.123426
114,2003,1,22,0,48.7,26.9,1.119252,0.99,-0.129252
115,2003,1,23,0,50.9,30.7,1.115106,0.99,-0.125106
116,2003,1,24,0,55.3,30.9,1.110991,0.99,-0.120991
117,2003,1,25,0,51.1,29.9,1.106907,0.99,-0.116907
118,2003,1,26,0,47.6,26,1.102849,1,-0.102849
119,2003,1,27,0,53.3,32.6,1.098821,1,-0.098821
120,2003,1,28,0.11,56.4,33.2,1.368163,1,-0.368163
121,2003,1,29,0,44.7,25,1.091216,1,-0.091216
122,2003,1,30,0,53.1,30.2,1.08725,1,-0.08725
123,2003,1,31,0,59.3,30.7,1.083329,1,-0.083329
124,2003,2,1,0,60.9,40.9,1.083533,1,-0.083533
125,2003,2,2,0.49,56,23.3,1.523145,1.1,-0.423145
126,2003,2,3,0,31,13.7,1.078267,1,-0.078267
127,2003,2,4,0,34.5,14.2,1.073266,1,-0.073266
128,2003,2,5,0.13,31.8,12.2,1.068508,0.9,-0.168508
